Customer_ID,Customer_Segment,City,Signup_Date,Acquisition_Channel
C00001,Small Business,Lahore,2025-08-29,Paid Search
C00002,Consumer,Karachi,2023-06-21,Social Media
C00003,Home Office,Gujranwala,2024-02-11,Email
C00004,Home Office,Faisalabad,2025-08-11,Referral
C00005,Small Business,Karachi,2024-05-08,Paid Search
C00006,Small Business,Rawalpindi,2023-08-10,Email
C00007,Consumer,Rawalpindi,2024-11-12,Organic Search
C00008,Consumer,Islamabad,2025-09-26,Referral
C00009,Consumer,Karachi,2023-01-02,Referral
C00010,Consumer,Faisalabad,2025-07-26,Organic Search
C00011,Consumer,Islamabad,2024-03-13,Affiliate
C00012,Home Office,Karachi,2025-12-04,Organic Search
C00013,Consumer,Karachi,2025-03-13,Email
C00014,Consumer,Multan,2023-09-28,Email
C00015,Home Office,Multan,2024-04-04,Organic Search
C00016,Consumer,Gujranwala,2023-09-29,Organic Search
C00017,Consumer,Gujranwala,2025-12-18,Organic Search
C00018,Consumer,Lahore,2024-05-28,Email
C00019,Home Office,Lahore,2024-04-17,Social Media
C00020,Small Business,Lahore,2025-02-10,Organic Search
C00021,Consumer,Lahore,2025-07-18,Paid Search
C00022,Consumer,Peshawar,2023-11-18,Paid Search
C00023,Consumer,Rawalpindi,2022-08-29,Affiliate
C00024,Consumer,Karachi,2023-10-06,Organic Search
C00025,Small Business,Lahore,2024-03-24,Paid Search
C00026,Consumer,Gujranwala,2025-05-04,Social Media
C00027,Consumer,Lahore,2023-04-29,Affiliate
C00028,Consumer,Lahore,2024-11-25,Email
C00029,Consumer,Rawalpindi,2022-08-03,Social Media
C00030,Home Office,Karachi,2024-08-28,Referral
C00031,Home Office,Karachi,2023-10-20,Email
C00032,Consumer,Lahore,2024-05-13,Paid Search
C00033,Consumer,Gujranwala,2022-10-18,Referral
C00034,Consumer,Karachi,2025-09-09,Email
C00035,Consumer,Lahore,2025-03-05,Paid Search
C00036,Consumer,Rawalpindi,2023-06-24,Paid Search
C00037,Home Office,Multan,2025-07-28,Referral
C00038,Home Office,Karachi,2025-12-11,Paid Search
C00039,Small Business,Lahore,2024-08-10,Social Media
C00040,Small Business,Karachi,2022-11-01,Referral
C00041,Consumer,Faisalabad,2025-08-04,Referral
C00042,Home Office,Lahore,2022-10-24,Paid Search
C00043,Consumer,Lahore,2023-05-30,Organic Search
C00044,Consumer,Faisalabad,2024-08-10,social media
C00045,Home Office,Lahore,2022-12-14,Affiliate
C00046,Home Office,Rawalpindi,2024-07-29,Social Media
C00047,Consumer,Rawalpindi,2025-09-15,Email
C00048,Home Office,Faisalabad,2024-07-05,Affiliate
C00049,Small Business,Lahore,2023-12-01,Social Media
C00050,Home Office,Faisalabad,2023-01-09,Paid Search
C00051,Consumer,Lahore,2025-07-14,Affiliate
C00052,Consumer,Lahore,2024-05-21,Email
C00053,Consumer,Rawalpindi,2024-02-15,Organic Search
C00054,Small Business,Peshawar,2025-08-27,Organic Search
C00055,Consumer,Gujranwala,2023-03-09,Referral
C00056,Home Office,Karachi,2024-06-22,Referral
C00057,Consumer,Lahore,2025-02-04,Referral
C00058,Consumer,Karachi,2024-12-18,Social Media
C00059,Consumer,Lahore,2025-07-11,Referral
C00060,Consumer,Lahore,2024-11-01,Social Media
C00061,Home Office,Lahore,2024-01-11,Email
C00062,Small Business,Karachi,2024-11-28,Paid Search
C00063,Home Office,Rawalpindi,2023-05-03,Email
C00064,Home Office,Karachi,2023-10-02,Organic Search
C00065,Consumer,Lahore,2024-05-08,Paid Search
C00066,Small Business,Karachi,2025-02-23,Organic Search
C00067,Consumer,Gujranwala,2023-07-02,Social Media
C00068,Consumer,Islamabad,2023-12-18,Social Media
C00069,Home Office,Lahore,2022-06-13,Paid Search
C00070,Small Business,Karachi,2022-11-10,Referral
C00071,Consumer,Lahore,2025-05-15,Affiliate
C00072,Home Office,Peshawar,2025-01-08,Paid Search
C00073,Home Office,Gujranwala,2024-04-22,Social Media
C00074,Home Office,Islamabad,2023-11-18,Social Media
C00075,Consumer,Rawalpindi,2023-03-29,Organic Search
C00076,Consumer,Multan,2024-04-01,Email
