Line_ID,Order_ID,Product_ID,Quantity,Unit_Price,Unit_Cost,Discount_Pct
L0000001,O000001,P0037,1,51720.0,28840.0,0.05
L0000002,O000001,P0111,1,16600.0,10290.0,0.2
L0000003,O000001,P0033,2,2970.0,1880.0,0.05
L0000004,O000001,P0104,1,970.0,670.0,0.15
L0000005,O000001,P0228,1,770.0,410.0,0.15
L0000006,O000002,P0167,2,9220.0,5370.0,0.15
L0000007,O000002,P0129,1,2250.0,1280.0,0.25
L0000008,O000003,P0005,1,11870.0,6740.0,0.3
L0000009,O000004,P0216,1,1410.0,790.0,0.15
L0000010,O000004,P0231,1,5790.0,3440.0,0.1
L0000011,O000005,P0047,1,5910.0,4230.0,0.05
L0000012,O000005,P0026,1,10350.0,6600.0,0.0
L0000013,O000006,P0012,2,5070.0,2940.0,0.0
L0000014,O000007,P0112,1,7050.0,4150.0,0.0
L0000015,O000007,P0114,1,1460.0,960.0,0.0
L0000016,O000008,P0159,1,4960.0,3700.0,0.25
L0000017,O000009,P0141,2,8150.0,5740.0,0.1
L0000018,O000009,P0212,2,340.0,200.0,0.0
L0000019,O000009,P0145,2,1990.0,1370.0,0.1
L0000020,O000010,P0191,2,9720.0,5580.0,0.15
L0000021,O000010,P0128,1,11540.0,8760.0,0.0
L0000022,O000011,P0094,2,1570.0,920.0,0.25
L0000023,O000012,P0019,3,53690.0,30970.0,0.0
L0000024,O000012,P0190,2,13350.0,10040.0,0.05
L0000025,O000013,P0110,1,740.0,470.0,0.25
L0000026,O000013,P0155,2,1630.0,1140.0,0.0
L0000027,O000013,P0208,1,680.0,380.0,0.25
L0000028,O000014,P0208,2,680.0,380.0,0.1
L0000029,O000014,P0068,1,5750.0,2840.0,0.0
L0000030,O000014,P0204,2,13130.0,8090.0,0.05
L0000031,O000015,P0110,2,740.0,470.0,0.3
L0000032,O000016,P0214,1,220.0,160.0,0.2
L0000033,O000016,P0118,1,5520.0,2770.0,0.15
L0000034,O000016,P0066,1,3840.0,2880.0,0.0
L0000035,O000017,P0099,1,15010.0,11350.0,0.0
L0000036,O000018,P0087,1,830.0,550.0,0.25
L0000037,O000018,P0186,2,19140.0,10540.0,0.0
L0000038,O000019,P0180,1,8840.0,4720.0,0.2
L0000039,O000019,P0125,3,8820.0,4670.0,0.0
L0000040,O000020,P0032,1,20120.0,15230.0,0.2
L0000041,O000020,P0025,2,2150.0,1030.0,0.25
L0000042,O000020,P0224,2,310.0,200.0,0.25
L0000043,O000021,P0207,1,1500.0,1140.0,0.05
L0000044,O000021,P0129,1,2250.0,1280.0,0.0
L0000045,O000022,P0016,1,13180.0,7470.0,0.0
L0000046,O000022,P0182,1,1870.0,1390.0,0.0
L0000047,O000023,P0096,1,6360.0,4730.0,0.0
L0000048,O000023,P0094,1,1570.0,920.0,0.3
