Order_ID,Customer_ID,Order_Date,Sales_Channel,Payment_Method,Order_Status,Shipping_Method,Promo_Code
O000001,C03283,2025-10-18,Website,Cash on Delivery,Completed,Standard,FREESHIP
O000002,C04364,2024-07-19,Website,Cash on Delivery,Completed,Standard,FLASH20
O000003,C04499,2024-02-23,Website,Cash on Delivery,Completed,Standard,NONE
O000004,C01703,2024-09-04,Website,Card,Completed,Standard,NONE
O000005,C05392,2024-12-10,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000006,C04054,2024-12-09,Website,Cash on Delivery,Completed,Standard,SAVE15
O000007,C04702,2024-11-03,Mobile App,Digital Wallet,Completed,Standard,FLASH20
O000008,C01453,2025-11-09,Mobile App,Card,Completed,Standard,FLASH20
O000009,C04167,2024-08-24,Marketplace,Cash on Delivery,Completed,Express,NONE
O000010,C06046,2025-12-07,Mobile App,Cash on Delivery,Returned,Standard,NONE
O000011,C05244,2024-12-22,Mobile App,Card,Completed,Standard,NONE
O000012,C02174,2025-02-16,Marketplace,Cash on Delivery,Completed,Standard,NONE
O000013,C05518,2025-07-20,Mobile App,Digital Wallet,Completed,Same Day,NONE
O000014,C01402,2024-01-12,Website,Card,Completed,Standard,FREESHIP
O000015,C04688,2024-03-04,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000016,C00041,2024-05-10,Website,Card,Completed,Standard,NONE
O000017,C03756,2025-09-20,Marketplace,Card,Returned,Standard,NONE
O000018,C04251,2025-08-07,Mobile App,Cash on Delivery,Completed,Same Day,NONE
O000019,C03118,2024-07-28,Mobile App,Cash on Delivery,Completed,Standard,NONE
O000020,C06216,2024-12-29,Website,Card,Cancelled,Standard,SAVE15
O000021,C04400,2024-06-04,Website,Card,Completed,Standard,FREESHIP
O000022,C00056,2025-04-25,Marketplace,Bank Transfer,Completed,Standard,NONE
O000023,C05712,2025-08-19,Mobile App,Card,Completed,Standard,NONE
O000024,C05637,2025-07-02,Website,Cash on Delivery,Completed,Standard,SAVE15
O000025,C03204,2025-09-23,Mobile App,Digital Wallet,Completed,Standard,FREESHIP
O000026,C05944,2024-10-27,Website,Bank Transfer,Completed,Express,NONE
O000027,C01362,2024-12-01,Website,Digital Wallet,Completed,Standard,FLASH20
O000028,C05855,2024-02-04,Website,Cash on Delivery,Completed,Express,SAVE15
O000029,C05554,2025-12-13,Website,Card,Completed,Standard,NONE
O000030,C05684,2025-04-21,Marketplace,Digital Wallet,Completed,Standard,FLASH20
O000031,C04610,2025-06-07,Website,Bank Transfer,Completed,Standard,WELCOME10
O000032,C00642,2024-12-25,Website,Digital Wallet,Completed,Standard,NONE
O000033,C03320,2025-03-22,Mobile App,Digital Wallet,Cancelled,Standard,NONE
O000034,C01002,2024-05-11,Marketplace,Cash on Delivery,Cancelled,Standard,FLASH20
O000035,C00480,2024-03-28,Mobile App,Cash on Delivery,Returned,Standard,FLASH20
O000036,C02631,2024-03-07,Marketplace,Cash on Delivery,Completed,Standard,SAVE15
