Product_ID,Product_Name,Category,Subcategory,Unit_Price,Unit_Cost
P0001,Laptops Item 01,Electronics,Laptops,1340.0,740.0
P0002,Laptops Item 02,Electronics,Laptops,1480.0,900.0
P0003,Laptops Item 03,Electronics,Laptops,18440.0,13820.0
P0004,Laptops Item 04,Electronics,Laptops,2660.0,1690.0
P0005,Laptops Item 05,Electronics,Laptops,11870.0,6740.0
P0006,Laptops Item 06,Electronics,Laptops,15170.0,7930.0
P0007,Laptops Item 07,Electronics,Laptops,17630.0,12980.0
P0008,Laptops Item 08,Electronics,Laptops,12840.0,9240.0
P0009,Laptops Item 09,Electronics,Laptops,5920.0,3560.0
P0010,Laptops Item 10,Electronics,Laptops,125240.0,61300.0
P0011,Audio Item 01,Electronics,Audio,21660.0,13860.0
P0012,Audio Item 02,Electronics,Audio,5070.0,2940.0
P0013,Audio Item 03,Electronics,Audio,9660.0,4960.0
P0014,Audio Item 04,Electronics,Audio,113630.0,55050.0
P0015,Audio Item 05,Electronics,Audio,69330.0,49060.0
P0016,Audio Item 06,Electronics,Audio,13180.0,7470.0
P0017,Audio Item 07,Electronics,Audio,109370.0,81290.0
P0018,Audio Item 08,Electronics,Audio,1630.0,840.0
P0019,Audio Item 09,Electronics,Audio,53690.0,30970.0
P0020,Audio Item 10,Electronics,Audio,65970.0,44940.0
P0021,Mobile Accessories Item 01,Electronics,Mobile Accessories,23430.0,15550.0
P0022,Mobile Accessories Item 02,Electronics,Mobile Accessories,10540.0,5560.0
P0023,Mobile Accessories Item 03,Electronics,Mobile Accessories,1790.0,1260.0
P0024,Mobile Accessories Item 04,Electronics,Mobile Accessories,28320.0,21230.0
P0025,Mobile Accessories Item 05,Electronics,Mobile Accessories,2150.0,1030.0
P0026,Mobile Accessories Item 06,Electronics,Mobile Accessories,10350.0,6600.0
P0027,Mobile Accessories Item 07,Electronics,Mobile Accessories,1550.0,1080.0
P0028,Mobile Accessories Item 08,Electronics,Mobile Accessories,11340.0,8270.0
P0029,Mobile Accessories Item 09,Electronics,Mobile Accessories,22780.0,11070.0
P0030,Mobile Accessories Item 10,Electronics,Mobile Accessories,11980.0,7270.0
P0031,Computer Accessories Item 01,Electronics,Computer Accessories,5660.0,3110.0
