Return_ID,Order_ID,Return_Reason,Refund_Method,Return_Date
R00001,O008429,Not as Described,Store Credit,2025-02-13
R00002,O009390,Size/Fit,Original Payment,2024-11-18
R00003,O008667,Not as Described,Original Payment,2024-02-13
R00004,O019332,Size/Fit,Original Payment,2025-11-25
R00005,O006746,Changed Mind,Original Payment,2024-02-08
R00006,O016358,Size/Fit,Original Payment,2025-12-14
R00007,O005269,Changed Mind,Original Payment,2024-04-01
R00008,O011560,Changed Mind,Original Payment,2025-03-16
R00009,O002228,Size/Fit,Store Credit,2024-12-03
R00010,O006956,Damaged,Store Credit,2024-11-22
R00011,O023351,Wrong Item,Original Payment,2024-01-14
R00012,O001826,Not as Described,Original Payment,2024-08-26
R00013,O005297,Damaged,Original Payment,2025-07-19
R00014,O023859,Late Delivery,Original Payment,2024-10-23
R00015,O014096,Changed Mind,Original Payment,2024-09-15
R00016,O007350,Wrong Item,Original Payment,2025-03-10
R00017,O000938,Changed Mind,Original Payment,2025-05-23
R00018,O010656,Changed Mind,Original Payment,2025-12-27
R00019,O019545,Changed Mind,Original Payment,2025-10-14
R00020,O020562,Size/Fit,Store Credit,2025-01-04
R00021,O016830,Changed Mind,Original Payment,2024-04-02
R00022,O003130,Not as Described,Original Payment,2025-02-04
R00023,O018148,Wrong Item,Original Payment,2024-07-01
R00024,O020769,Not as Described,Store Credit,2025-06-21
R00025,O022352,Size/Fit,Original Payment,2024-12-22
R00026,O000743,Changed Mind,Original Payment,2025-08-21
R00027,O005706,Size/Fit,Original Payment,2025-11-15
R00028,O006284,Changed Mind,Store Credit,2025-01-13
R00029,O011576,Late Delivery,Original Payment,2024-12-25
R00030,O001843,Wrong Item,Original Payment,2024-04-05
R00031,O013216,Size/Fit,Original Payment,2025-07-20
R00032,O002824,Wrong Item,Original Payment,2025-05-07
R00033,O018110,Not as Described,Store Credit,2024-12-25
R00034,O003938,Wrong Item,Original Payment,2025-12-30
R00035,O012372,Size/Fit,Original Payment,2025-07-08
R00036,O023952,Not as Described,Original Payment,2024-11-13
R00037,O018280,Changed Mind,Original Payment,2026-01-10
R00038,O001549,Wrong Item,Original Payment,2025-09-03
R00039,O003979,Changed Mind,Original Payment,2024-10-11
R00040,O015324,Wrong Item,Original Payment,2025-03-30
R00041,O012824,Damaged,Original Payment,2024-02-19
R00042,O001094,Not as Described,Original Payment,2025-02-23
R00043,O015856,Not as Described,Store Credit,2025-11-26
R00044,O015970,Changed Mind,Original Payment,2025-04-21
R00045,O003858,Changed Mind,Original Payment,2024-05-17
R00046,O023563,Wrong Item,Original Payment,2024-05-30
R00047,O011044,Not as Described,Original Payment,2024-01-30
R00048,O003461,Size/Fit,Original Payment,2024-11-14
R00049,O009346,Changed Mind,Original Payment,2024-04-22
R00050,O010602,Changed Mind,Original Payment,2025-05-07
R00051,O009374,Damaged,Original Payment,2025-12-26
R00052,O005998,Wrong Item,Original Payment,2025-12-10
R00053,O011896,Size/Fit,Original Payment,2025-11-04
R00054,O007233,Not as Described,Store Credit,2024-09-02
R00055,O009582,Size/Fit,Store Credit,2025-11-18
R00056,O019583,Damaged,Original Payment,2026-01-12
R00057,O003477,Late Delivery,Original Payment,2024-12-05
R00058,O017290,Not as Described,Original Payment,2024-06-15
R00059,O007202,Wrong Item,Original Payment,2025-10-20
R00060,O001961,Damaged,Original Payment,2024-11-30
R00061,O006410,Late Delivery,Original Payment,2025-03-02
R00062,O005922,Damaged,Original Payment,2024-03-25
R00063,O014145,Wrong Item,Original Payment,2024-06-19
R00064,O004134,Size/Fit,Original Payment,2025-02-25
R00065,O010794,Not as Described,Original Payment,2025-02-07
R00066,O012937,Not as Described,Store Credit,2024-01-23
R00067,O001667,Changed Mind,Original Payment,2024-06-08
R00068,O019660,Late Delivery,Original Payment,2024-10-05
